N1 : 4 
N2 : 4 
LINHAS : 256 
COLUNAS : 8 

MAXIMO_MUTACOES : 3 
NUMERO_MAX_GERACOES : 3000000 
GERACOES_SEM_MUDANCA : 300000 
PERSISTENCIA : 1000 
INDIVIDUOS_POR_GERACAO : 4 
QTD_CH : 2 

NUMERO_PORTAS : 5 
AND : 100 
OR : 200 
NAND : 300 NOR : 400 
XOR : 500 
LINHAS_NOS : 2 
COLUNAS_NOS : 5 
NUMERO_NOS : 18 


Matriz Topologia : 

9 11 13 15 17 
10 12 14 16 18 



A A A A B B B B |C0 C1|S0 |S1 |S2 |S3 |S4 |S5 |S6 |S7 |
------------------------------------------------------|
0 0 0 0 0 0 0 0 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 0 0 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 1 0 0 0 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 
0 0 0 1 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
0 0 0 1 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 
0 0 0 1 0 1 0 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
0 0 0 1 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 
0 0 0 1 0 1 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 0 0 1 0 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 
0 0 0 1 1 0 0 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 0 0 1 1 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 
0 0 0 1 1 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
0 0 0 1 1 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 
0 0 0 1 1 1 0 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 0 0 1 1 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 
0 0 0 1 1 1 1 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 0 0 1 1 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
0 0 1 0 0 0 0 0 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 1 0 0 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
0 0 1 0 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
0 0 1 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 0 1 0 0 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 0 1 0 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
0 0 1 0 0 1 1 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 0 1 0 0 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 0 1 0 1 0 0 0 | 1 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 
0 0 1 0 1 0 0 1 | 1 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
0 0 1 0 1 0 1 0 | 0 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 0 1 0 1 0 1 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 
0 0 1 0 1 1 0 0 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 0 1 0 1 1 0 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 
0 0 1 0 1 1 1 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 
0 0 1 0 1 1 1 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 0 1 1 0 0 0 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 1 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 
0 0 1 1 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 0 1 1 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 
0 0 1 1 0 1 0 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 0 1 1 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
0 0 1 1 0 1 1 0 | 0 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
0 0 1 1 0 1 1 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 
0 0 1 1 1 0 0 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 0 1 1 1 0 0 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 
0 0 1 1 1 0 1 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 0 1 1 1 0 1 1 | 0 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 
0 0 1 1 1 1 0 0 | 0 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
0 0 1 1 1 1 0 1 | 0 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 
0 0 1 1 1 1 1 0 | 0 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 
0 0 1 1 1 1 1 1 | 0 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
0 1 0 0 0 0 0 0 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 0 0 0 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
0 1 0 0 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 1 0 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 1 0 0 0 1 0 0 | 0 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 
0 1 0 0 0 1 0 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 0 0 0 1 1 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 1 0 0 0 1 1 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 
0 1 0 0 1 0 0 0 | 1 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 
0 1 0 0 1 0 0 1 | 1 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
0 1 0 0 1 0 1 0 | 0 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
0 1 0 0 1 0 1 1 | 0 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 
0 1 0 0 1 1 0 0 | 0 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 
0 1 0 0 1 1 0 1 | 0 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 
0 1 0 0 1 1 1 0 | 0 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 
0 1 0 0 1 1 1 1 | 0 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
0 1 0 1 0 0 0 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 0 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 
0 1 0 1 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
0 1 0 1 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
0 1 0 1 0 1 0 0 | 0 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 0 1 0 1 0 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 
0 1 0 1 0 1 1 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 1 0 1 0 1 1 1 | 0 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 
0 1 0 1 1 0 0 0 | 0 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
0 1 0 1 1 0 0 1 | 0 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
0 1 0 1 1 0 1 0 | 0 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 
0 1 0 1 1 0 1 1 | 0 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 
0 1 0 1 1 1 0 0 | 0 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
0 1 0 1 1 1 0 1 | 0 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 
0 1 0 1 1 1 1 0 | 0 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 1 0 1 1 1 1 1 | 0 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 
0 1 1 0 0 0 0 0 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 1 0 0 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 1 1 0 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 1 1 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
0 1 1 0 0 1 0 0 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 1 1 0 0 1 0 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 1 1 0 0 1 1 0 | 0 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
0 1 1 0 0 1 1 1 | 0 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 
0 1 1 0 1 0 0 0 | 1 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 
0 1 1 0 1 0 0 1 | 1 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 
0 1 1 0 1 0 1 0 | 0 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
0 1 1 0 1 0 1 1 | 0 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 
0 1 1 0 1 1 0 0 | 0 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 1 1 0 1 1 0 1 | 0 1 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 1 1 0 1 1 1 0 | 0 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 1 0 1 1 1 1 | 0 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 
0 1 1 1 0 0 0 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 1 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 
0 1 1 1 0 0 1 0 | 0 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 1 1 1 0 0 1 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 
0 1 1 1 0 1 0 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 
0 1 1 1 0 1 0 1 | 0 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 
0 1 1 1 0 1 1 0 | 0 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 
0 1 1 1 0 1 1 1 | 0 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 
0 1 1 1 1 0 0 0 | 0 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 
0 1 1 1 1 0 0 1 | 0 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 
0 1 1 1 1 0 1 0 | 0 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 1 1 1 1 0 1 1 | 0 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 
0 1 1 1 1 1 0 0 | 0 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 1 1 1 1 0 1 | 0 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 
0 1 1 1 1 1 1 0 | 0 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 
0 1 1 1 1 1 1 1 | 0 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 
1 0 0 0 0 0 0 0 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 0 0 1 0 | 0 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 0 0 1 0 0 | 0 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 1 0 1 | 0 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 0 1 1 0 | 0 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 1 1 1 | 0 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 0 0 0 | 1 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 0 0 1 | 1 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 0 1 0 | 0 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 0 1 1 | 0 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 1 0 0 | 0 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 1 0 1 | 0 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 1 1 0 | 0 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 1 1 1 | 0 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 1 0 0 0 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 
1 0 0 1 0 0 1 0 | 0 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
1 0 0 1 0 0 1 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 
1 0 0 1 0 1 0 0 | 0 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
1 0 0 1 0 1 0 1 | 0 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
1 0 0 1 0 1 1 0 | 0 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 
1 0 0 1 0 1 1 1 | 0 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 
1 0 0 1 1 0 0 0 | 0 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 1 1 0 0 1 | 0 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 
1 0 0 1 1 0 1 0 | 0 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 
1 0 0 1 1 0 1 1 | 0 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 
1 0 0 1 1 1 0 0 | 0 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 
1 0 0 1 1 1 0 1 | 0 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 
1 0 0 1 1 1 1 0 | 0 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 
1 0 0 1 1 1 1 1 | 0 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 
1 0 1 0 0 0 0 0 | 1 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 1 0 0 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
1 0 1 0 0 0 1 0 | 0 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
1 0 1 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
1 0 1 0 0 1 0 0 | 0 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
1 0 1 0 0 1 0 1 | 0 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 
1 0 1 0 0 1 1 0 | 0 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
1 0 1 0 0 1 1 1 | 0 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 
1 0 1 0 1 0 0 0 | 1 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 
1 0 1 0 1 0 0 1 | 1 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 
1 0 1 0 1 0 1 0 | 0 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 
1 0 1 0 1 0 1 1 | 0 1 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 
1 0 1 0 1 1 0 0 | 0 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 
1 0 1 0 1 1 0 1 | 0 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
1 0 1 0 1 1 1 0 | 0 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
1 0 1 0 1 1 1 1 | 0 1 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 
1 0 1 1 0 0 0 0 | 0 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 1 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 
1 0 1 1 0 0 1 0 | 0 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 
1 0 1 1 0 0 1 1 | 0 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 
1 0 1 1 0 1 0 0 | 0 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 
1 0 1 1 0 1 0 1 | 0 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 
1 0 1 1 0 1 1 0 | 0 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 
1 0 1 1 0 1 1 1 | 0 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 
1 0 1 1 1 0 0 0 | 0 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 
1 0 1 1 1 0 0 1 | 0 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 
1 0 1 1 1 0 1 0 | 0 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 
1 0 1 1 1 0 1 1 | 0 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 
1 0 1 1 1 1 0 0 | 0 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
1 0 1 1 1 1 0 1 | 0 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
